site,lt_mbh,mt_mbh,sqft
WM5136,377.5,471.6,
WM1608,291.4,458.3,
WM1575,314.9,366,
WM3022,224.6,682,
WM2025,287.3,544,
WM1554,352.2,467.2,
WM2002,371.6,466.7,
WM4174,198.9,332.6,
WM5293,275.3,780.3,
WM4184,202.4,624.1,
WM2119,262.5,469.5,
WM2985,268.1,497.6,
WM5701,255.4,518.4,
WM5633,122.8,432.2,
WM5634,182.6,376.1,
WM2689,194.2,314.8,
WM4238,322,391.7,
WM2053,225.4,268.2,
WM1700,287.6,522.5,
WM3138,199.4,408.8,
WM3139,176.51,359.,96
WM3141,196.2,314.8,
WM3708,286,625.1,
WM5658,169.8,302.8,
WM5859,266.3,468.7,
WM1588,281.3,551,
WM1915,258.9,480.3,
WM5337,291.9,607.6,
WM3352,,,
WM3493,,,
WM5606,189.3,490.2,
WM3140,200.1,406.6,
WM4171,215.6,463.5,
WM4340,281.3,551,
WM5215,290.8,554.9,
WM3796,278.9,616.4,
WM4132,262.9,499.3,
WM5603,110.8,522.6,33550
WM5635,180.2,434.9,36597
WM5956,213.7,288.1,
WFLAT,588.0,1139.0,